station_1,station_2,station_3,between_ratio,perimeter,delta,tau,cutoff,perimeter_norm,trips_between_norm,combined_between_ratio_distance,station1_name,station2_name,station3_name
M32037,A32004,C32107,0.0071877807726864335,12.122542269662645,2h,1,0,0.7455823729951667,0.9257515913132506,0.6902240682553852,Ames St at Main St,Longwood Ave at Binney St,Pier 4 Blvd at Autumn Ln
A32004,C32107,D32024,0.00146484375,10.991982893967787,2h,1,0,0.6730662208592184,0.9881168778144642,0.6650680927177915,Longwood Ave at Binney St,Pier 4 Blvd at Autumn Ln,Beacon St at Charles St
A32004,A32010,M32017,0.004286827747466875,14.356618528815172,2h,2,0,0.8888801222110743,0.9573645141581457,0.8509822863454383,Longwood Ave at Binney St,South Station - 700 Atlantic Ave,Harvard Square at Brattle St / Eliot St
A32004,A32046,M32017,0.008620689655172414,13.829811767525197,2h,2,0,0.855089770223174,0.9101365718517184,0.7782484720963931,Longwood Ave at Binney St,Canal St at Causeway St,Harvard Square at Brattle St / Eliot St
A32004,D32024,M32017,0.003750586029067042,12.238897091632428,2h,2,0,0.7530455847053222,0.9632081689580041,0.725339658785923,Longwood Ave at Binney St,Beacon St at Charles St,Harvard Square at Brattle St / Eliot St
M32005,A32010,M32017,0.00299017513882956,11.745786099281002,2h,2,0,0.7214165411451052,0.97149469086805,0.7008523396268619,MIT Stata Center at Vassar St / Main St,South Station - 700 Atlantic Ave,Harvard Square at Brattle St / Eliot St
D32046,A32010,M32017,0.0076045627376425855,12.168529189520541,2h,2,0,0.7485320583884078,0.9212097404157148,0.6895550232008257,Boylston St at Exeter St,South Station - 700 Atlantic Ave,Harvard Square at Brattle St / Eliot St
M32037,C32034,M32016,0.0010136847440446021,13.335046009161523,4h,0,0,0.8233545869356031,0.9930333499951773,0.8176185636985575,Ames St at Main St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Kennedy School at Bennett St / Eliot St
C32034,M32005,M32016,0.001160092807424594,13.34440887246361,4h,0,0,0.823955138162048,0.9914378788616343,0.8169003344565257,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,MIT Stata Center at Vassar St / Main St,Harvard Kennedy School at Bennett St / Eliot St
D32005,C32034,M32016,0.0035842293906810036,13.694701253927427,4h,0,0,0.8464235340485369,0.9650210282247053,0.8168165091411079,Copley Square - Dartmouth St at Boylston St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Kennedy School at Bennett St / Eliot St
C32034,M32061,M32016,0.002173913043478261,13.392068059171306,4h,0,0,0.8270120858184652,0.980389847189859,0.8107942524397317,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Mass Ave at Albany St,Harvard Kennedy School at Bennett St / Eliot St
C32034,M32016,D32013,0.0034266133637921186,13.564617141129464,4h,0,0,0.8380797004410988,0.9667386373186271,0.810204027568831,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Kennedy School at Bennett St / Eliot St,Boylston St at Berkeley St
C32034,M32018,A32004,0.0025426807119505995,15.634029138255306,4h,1,0,0.9708155818478594,0.9763712285670271,0.9478764023608077,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Square at Mass Ave/ Dunster,Longwood Ave at Binney St
